TradingDate,TradingPeriod,PublishDateTime,PointOfConnection,Island,IsProxyPriceFlag,DollarsPerMegawattHour
2025-08-01,1,2025-07-31T23:59:59.000+12:00,WWD1102,NI,N,119.59
2025-08-01,1,2025-07-31T23:59:59.000+12:00,WWD1103,NI,N,120.21
2025-08-01,1,2025-08-01T00:04:34.000+12:00,WWD1102,NI,N,116.25
2025-08-01,1,2025-08-01T00:04:34.000+12:00,WWD1103,NI,N,116.86
2025-08-01,1,2025-08-01T00:09:34.000+12:00,WWD1102,NI,N,105.97
2025-08-01,1,2025-08-01T00:09:34.000+12:00,WWD1103,NI,N,106.52
2025-08-01,1,2025-08-01T00:14:40.000+12:00,WWD1102,NI,N,103.16
2025-08-01,1,2025-08-01T00:14:40.000+12:00,WWD1103,NI,N,103.7
2025-08-01,1,2025-08-01T00:19:37.000+12:00,WWD1102,NI,N,102.05
2025-08-01,1,2025-08-01T00:19:37.000+12:00,WWD1103,NI,N,102.59
2025-08-01,1,2025-08-01T00:24:38.000+12:00,WWD1102,NI,N,102.34
2025-08-01,1,2025-08-01T00:24:38.000+12:00,WWD1103,NI,N,102.88
2025-08-01,2,2025-08-01T00:29:33.000+12:00,WWD1102,NI,N,114.7
2025-08-01,2,2025-08-01T00:29:33.000+12:00,WWD1103,NI,N,115.3
2025-08-01,2,2025-08-01T00:34:38.000+12:00,WWD1102,NI,N,105.94
2025-08-01,2,2025-08-01T00:34:38.000+12:00,WWD1103,NI,N,106.49
2025-08-01,2,2025-08-01T00:39:33.000+12:00,WWD1102,NI,N,106.37
2025-08-01,2,2025-08-01T00:39:33.000+12:00,WWD1103,NI,N,106.57
2025-08-01,2,2025-08-01T00:44:33.000+12:00,WWD1102,NI,N,104.18
2025-08-01,2,2025-08-01T00:44:33.000+12:00,WWD1103,NI,N,104.37
2025-08-01,2,2025-08-01T00:49:34.000+12:00,WWD1102,NI,N,106.46
2025-08-01,2,2025-08-01T00:49:34.000+12:00,WWD1103,NI,N,107.02
2025-08-01,2,2025-08-01T00:54:33.000+12:00,WWD1102,NI,N,101.92
2025-08-01,2,2025-08-01T00:54:33.000+12:00,WWD1103,NI,N,102.45
2025-08-01,3,2025-08-01T00:59:35.000+12:00,WWD1102,NI,N,103.4
2025-08-01,3,2025-08-01T00:59:35.000+12:00,WWD1103,NI,N,103.59
2025-08-01,3,2025-08-01T01:04:34.000+12:00,WWD1102,NI,N,106.8
2025-08-01,3,2025-08-01T01:04:34.000+12:00,WWD1103,NI,N,106.99
2025-08-01,3,2025-08-01T01:09:35.000+12:00,WWD1102,NI,N,103.09
